sunzen,elev,aot,wv,C_B2,C_B3,C_B4,C_B5,C_B6,C_B7,Ce_B2,Ce_B3,Ce_B4,Ce_B5,Ce_B6,Ce_B7,Edir_B2,Edir_B3,Edir_B4,Edir_B5,Edir_B6,Edir_B7,Edif_B2,Edif_B3,Edif_B4,Edif_B5,Edif_B6,Edif_B7,Eenv_B2,Eenv_B3,Eenv_B4,Eenv_B5,Eenv_B6,Eenv_B7,sec
57.5,0,0.05,1.0,0.27121,0.15868,0.10413,0.05846,0.01827,0.01355,0.32594,0.18896,0.12243,0.06734,0.01979,0.01427,667.744,697.537,653.232,476.054,101.709,37.57,181.097,110.687,68.023,27.83,1.858,0.509,36.549,21.122,11.95,4.228,0.155,0.027,2.165
60.0,0,0.05,1.0,0.29443,0.17095,0.11163,0.06237,0.01944,0.01443,0.35015,0.20156,0.13005,0.07129,0.02097,0.01515,602.153,634.247,598.514,438.966,94.134,34.721,177.289,108.427,66.814,27.38,1.83,0.501,33.557,19.41,11.023,3.913,0.144,0.025,2.225
62.5,0,0.05,1.0,0.3229,0.1858,0.12063,0.06703,0.02081,0.0155,0.37985,0.21679,0.13919,0.07598,0.02234,0.01622,535.617,569.758,542.593,401.017,86.382,31.807,172.953,105.861,65.451,26.88,1.798,0.493,30.502,17.657,10.073,3.59,0.132,0.023,2.236
65.0,0,0.05,1.0,0.35856,0.20409,0.1316,0.07266,0.02245,0.01672,0.41703,0.23556,0.15034,0.08166,0.02398,0.01744,468.483,504.324,485.638,362.3,78.47,28.834,167.979,102.929,63.909,26.324,1.762,0.482,27.393,15.871,9.102,3.261,0.12,0.021,2.23
67.5,0,0.05,1.0,0.40436,0.22714,0.14526,0.07959,0.02445,0.01821,0.46479,0.25922,0.16422,0.08865,0.02599,0.01895,401.181,438.252,427.841,322.921,70.418,25.81,162.221,99.546,62.147,25.702,1.722,0.47,24.245,14.057,8.115,2.925,0.108,0.019,2.332
70.0,0,0.05,1.0,0.46517,0.25705,0.16273,0.08835,0.02693,0.02005,0.52821,0.28991,0.18198,0.09748,0.02847,0.02079,334.252,371.925,369.432,282.992,62.245,22.746,155.484,95.603,60.116,25.002,1.676,0.456,21.071,12.221,7.112,2.584,0.096,0.017,2.277
72.5,0,0.05,1.0,0.54948,0.29732,0.18583,0.09976,0.03007,0.02234,0.61614,0.33123,0.20546,0.10899,0.03161,0.02305,268.41,305.841,310.699,242.648,53.976,19.65,147.487,90.933,57.738,24.206,1.623,0.439,17.891,10.372,6.099,2.239,0.083,0.014,2.297
75.0,0,0.05,1.0,0.67353,0.35437,0.21782,0.11525,0.03421,0.02534,0.74551,0.38978,0.23797,0.1246,0.03576,0.02607,204.639,240.692,252.027,202.05,45.636,16.535,137.831,85.295,54.897,23.286,1.561,0.419,14.73,8.523,5.079,1.89,0.071,0.012,2.324
77.5,0,0.05,1.0,0.87223,0.44118,0.26501,0.13752,0.03994,0.02937,0.95274,0.47887,0.28593,0.14706,0.0415,0.03011,144.36,177.499,193.975,161.41,37.256,13.416,125.915,78.309,51.405,22.197,1.488,0.394,11.623,6.69,4.058,1.54,0.058,0.01,2.303
80.0,0,0.05,1.0,1.23505,0.58826,0.34143,0.17228,0.04841,0.0353,1.33118,0.62982,0.3636,0.18211,0.05001,0.03607,89.724,117.887,137.441,121.039,28.877,10.312,110.814,69.348,46.927,20.852,1.398,0.364,8.625,4.9,3.047,1.19,0.046,0.008,2.352
10.0,250,0.05,1.0,0.13773,0.08493,0.05774,0.03362,0.01064,0.00775,0.18569,0.11267,0.07492,0.04214,0.01214,0.00847,1489.961,1476.761,1319.849,927.425,193.924,72.262,205.216,125.42,76.212,31.178,2.064,0.56,71.453,40.973,22.676,7.908,0.291,0.052,0.896
12.5,250,0.05,1.0,0.13899,0.08566,0.05822,0.03389,0.01073,0.00782,0.187,0.11342,0.07541,0.04241,0.01223,0.00853,1474.178,1461.869,1307.144,918.842,192.171,71.603,204.892,125.224,76.103,31.135,2.062,0.56,70.774,40.587,22.468,7.837,0.289,0.051,0.982
15.0,250,0.05,1.0,0.14055,0.08657,0.05881,0.03422,0.01083,0.0079,0.18862,0.11436,0.07601,0.04275,0.01233,0.00862,1454.957,1443.729,1291.667,908.386,190.034,70.799,204.492,124.983,75.969,31.081,2.059,0.559,69.946,40.117,22.214,7.75,0.285,0.051,1.123
17.5,250,0.05,1.0,0.14243,0.08766,0.05953,0.03461,0.01096,0.00799,0.19058,0.11548,0.07674,0.04315,0.01246,0.0087,1432.34,1422.379,1273.449,896.078,187.519,69.853,204.011,124.692,75.808,31.017,2.055,0.558,68.971,39.563,21.916,7.648,0.282,0.05,1.163
20.0,250,0.05,1.0,0.14466,0.08896,0.06037,0.03508,0.01111,0.0081,0.19291,0.11681,0.0776,0.04362,0.01261,0.00881,1406.376,1397.863,1252.527,881.942,184.632,68.767,203.447,124.352,75.618,30.942,2.051,0.557,67.852,38.928,21.573,7.531,0.277,0.049,1.252
22.5,250,0.05,1.0,0.14726,0.09046,0.06135,0.03563,0.01129,0.00823,0.19561,0.11835,0.07859,0.04417,0.01279,0.00894,1377.122,1370.231,1228.941,866.008,181.376,67.542,202.794,123.956,75.398,30.854,2.047,0.556,66.59,38.211,21.186,7.399,0.273,0.048,1.371
25.0,250,0.05,1.0,0.15026,0.0922,0.06248,0.03625,0.01148,0.00839,0.19874,0.12013,0.07974,0.0448,0.01298,0.0091,1344.642,1339.542,1202.74,848.305,177.759,66.181,202.046,123.504,75.147,30.754,2.041,0.555,65.188,37.415,20.756,7.252,0.267,0.047,1.39
27.5,250,0.05,1.0,0.1537,0.09418,0.06377,0.03697,0.01171,0.00855,0.20233,0.12217,0.08104,0.04552,0.01321,0.00926,1309.008,1305.859,1173.978,828.87,173.789,64.687,201.198,122.991,74.861,30.641,2.035,0.553,63.649,36.54,20.284,7.091,0.261,0.046,1.511
30.0,250,0.05,1.0,0.15763,0.09644,0.06523,0.03777,0.01197,0.00875,0.20642,0.12448,0.08253,0.04634,0.01347,0.00947,1270.302,1269.253,1142.71,807.742,169.473,63.063,200.241,122.412,74.539,30.512,2.028,0.552,61.975,35.589,19.771,6.916,0.255,0.045,1.565
32.5,250,0.05,1.0,0.16211,0.09901,0.06689,0.03869,0.01226,0.00897,0.21108,0.12711,0.08422,0.04726,0.01376,0.00969,1228.611,1229.802,1109.001,784.962,164.819,61.313,199.168,121.762,74.178,30.369,2.02,0.55,60.171,34.564,19.217,6.726,0.248,0.044,1.664
35.0,250,0.05,1.0,0.1672,0.10191,0.06876,0.03972,0.01258,0.00922,0.21638,0.13009,0.08612,0.04829,0.01409,0.00994,1184.032,1187.59,1072.92,760.577,159.838,59.438,197.966,121.033,73.773,30.208,2.011,0.548,58.239,33.466,18.624,6.524,0.241,0.043,1.712
37.5,250,0.05,1.0,0.17298,0.10521,0.07087,0.04088,0.01295,0.0095,0.22241,0.13347,0.08827,0.04947,0.01446,0.01022,1136.67,1142.71,1034.541,734.637,154.54,57.445,196.624,120.221,73.322,30.03,2.001,0.546,56.185,32.297,17.993,6.309,0.233,0.041,1.787
40.0,250,0.05,1.0,0.17957,0.10894,0.07326,0.04218,0.01335,0.00981,0.22927,0.1373,0.09069,0.05078,0.01486,0.01054,1086.641,1095.26,993.945,707.193,148.934,55.336,195.128,119.314,72.818,29.831,1.989,0.543,54.011,31.061,17.325,6.08,0.224,0.04,1.858
42.5,250,0.05,1.0,0.18709,0.11317,0.07597,0.04365,0.01382,0.01017,0.23711,0.14164,0.09344,0.05226,0.01533,0.01088,1034.067,1045.346,951.214,678.303,143.033,53.116,193.461,118.304,72.259,29.611,1.977,0.54,51.723,29.758,16.622,5.84,0.216,0.038,1.891
45.0,250,0.05,1.0,0.1957,0.118,0.07903,0.04532,0.01434,0.01057,0.24607,0.14659,0.09655,0.05394,0.01585,0.0113,979.085,993.084,906.44,648.024,136.849,50.789,191.603,117.179,71.637,29.367,1.963,0.537,49.325,28.393,15.884,5.589,0.206,0.037,2.011
47.5,250,0.05,1.0,0.2056,0.12351,0.08252,0.0472,0.01493,0.01102,0.25639,0.15224,0.1001,0.05584,0.01644,0.01175,921.841,938.595,859.72,616.421,130.394,48.361,189.531,115.925,70.946,29.097,1.947,0.533,46.822,26.968,15.113,5.326,0.197,0.035,2.047
50.0,250,0.05,1.0,0.21706,0.12985,0.08651,0.04935,0.0156,0.01152,0.26833,0.15874,0.10416,0.05801,0.01711,0.01224,862.495,882.013,811.157,583.559,123.682,45.836,187.215,114.527,70.177,28.799,1.929,0.528,44.221,25.485,14.312,5.052,0.187,0.033,2.064
