sunzen,elev,aot,wv,C_B2,C_B3,C_B4,C_B5,C_B6,C_B7,Ce_B2,Ce_B3,Ce_B4,Ce_B5,Ce_B6,Ce_B7,Edir_B2,Edir_B3,Edir_B4,Edir_B5,Edir_B6,Edir_B7,Edif_B2,Edif_B3,Edif_B4,Edif_B5,Edif_B6,Edif_B7,Eenv_B2,Eenv_B3,Eenv_B4,Eenv_B5,Eenv_B6,Eenv_B7,sec
57.5,5500,0.2,3.0,0.47931,0.35528,0.27277,0.17169,0.07218,0.05522,0.53372,0.39196,0.29906,0.18702,0.07701,0.0579,568.354,583.95,555.856,401.114,113.518,38.5,272.419,207.464,151.622,68.867,8.194,2.126,30.921,21.422,14.614,6.151,0.548,0.103,1.845
60.0,5500,0.2,3.0,0.51953,0.3826,0.29248,0.18325,0.07687,0.05891,0.57541,0.42002,0.31918,0.19874,0.08172,0.06158,506.015,523.451,502.509,366.729,104.709,35.546,262.888,200.272,146.974,67.203,8.049,2.094,28.277,19.59,13.416,5.679,0.508,0.095,1.937
62.5,5500,0.2,3.0,0.5692,0.41595,0.31633,0.1971,0.08241,0.06325,0.62691,0.45428,0.34352,0.21276,0.0873,0.06593,443.283,462.291,448.311,331.605,95.687,32.52,252.317,192.29,141.813,65.358,7.886,2.057,25.58,17.719,12.19,5.195,0.467,0.087,1.886
65.0,5500,0.2,3.0,0.63203,0.45754,0.34578,0.21399,0.08907,0.06847,0.69204,0.497,0.37358,0.22988,0.09397,0.07115,380.62,400.853,393.522,295.854,86.473,29.43,240.562,183.408,136.071,63.311,7.702,2.015,22.842,15.816,10.939,4.701,0.424,0.079,1.934
67.5,5500,0.2,3.0,0.71385,0.51081,0.38303,0.23506,0.09718,0.07473,0.77687,0.55171,0.4116,0.25122,0.10213,0.07743,318.596,339.604,338.46,259.608,77.091,26.283,227.431,173.473,129.642,61.024,7.492,1.964,20.078,13.889,9.669,4.196,0.381,0.071,1.923
70.0,5500,0.2,3.0,0.82461,0.58145,0.43172,0.26211,0.10733,0.08247,0.8917,0.62426,0.46129,0.27862,0.11232,0.0852,257.933,279.139,283.53,223.025,67.566,23.086,212.693,162.305,122.406,58.456,7.252,1.904,17.305,11.95,8.384,3.684,0.337,0.063,1.93
72.5,5500,0.2,3.0,0.98229,0.67946,0.49802,0.29808,0.12041,0.09229,1.05518,0.72493,0.52895,0.31507,0.12545,0.09506,199.566,220.239,229.264,186.31,57.928,19.85,196.032,149.643,114.177,55.536,6.975,1.832,14.546,10.014,7.093,3.165,0.292,0.055,1.98
75.0,5500,0.2,3.0,1.22314,0.82424,0.59359,0.34841,0.13791,0.10521,1.30489,0.87363,0.6265,0.36606,0.14303,0.10798,144.746,163.969,176.397,149.74,48.212,16.586,177.045,135.149,104.708,52.171,6.649,1.745,11.832,8.099,5.805,2.643,0.247,0.046,2.009
77.5,5500,0.2,3.0,1.63049,1.05812,0.74294,0.42386,0.16274,0.12308,1.72722,1.11386,0.77893,0.4425,0.16796,0.12594,95.175,111.835,126.008,113.725,38.467,13.308,155.182,118.335,93.616,48.204,6.26,1.638,9.206,6.233,4.535,2.119,0.201,0.038,2.008
80.0,5500,0.2,3.0,2.43945,1.4925,1.00705,0.54945,0.20089,0.14982,2.56595,1.56001,1.04848,0.56974,0.20631,0.1527,53.192,66.024,79.759,78.931,28.767,10.039,129.759,98.541,80.321,43.369,5.779,1.504,6.729,4.457,3.305,1.601,0.156,0.029,2.042
10.0,0,0.2,4.0,0.31123,0.22385,0.16858,0.10433,0.04274,0.03139,0.37913,0.26778,0.19863,0.12071,0.04781,0.034,1251.287,1275.264,1172.225,810.628,216.921,70.245,389.441,285.469,197.614,84.571,9.272,2.205,84.963,56.022,35.224,13.276,1.1,0.183,0.807
12.5,0,0.2,4.0,0.31412,0.2258,0.16998,0.10515,0.04309,0.03165,0.38217,0.2698,0.20006,0.12154,0.04816,0.03425,1236.05,1260.656,1159.6,802.648,214.902,69.577,388.27,284.651,197.108,84.4,9.26,2.202,84.113,55.469,34.886,13.155,1.09,0.181,0.909
15.0,0,0.2,4.0,0.31772,0.22821,0.17172,0.10617,0.04351,0.03198,0.38595,0.2723,0.20184,0.12258,0.04859,0.03458,1217.506,1242.874,1144.226,792.926,212.442,68.764,386.824,283.64,196.481,84.188,9.244,2.199,83.077,54.794,34.474,13.008,1.078,0.179,0.995
17.5,0,0.2,4.0,0.32206,0.23113,0.17381,0.1074,0.04402,0.03237,0.39052,0.27532,0.20399,0.12383,0.0491,0.03497,1195.707,1221.959,1126.137,781.483,209.547,67.807,385.092,282.429,195.729,83.934,9.225,2.195,81.857,54.0,33.99,12.834,1.064,0.176,1.071
20.0,0,0.2,4.0,0.32721,0.23457,0.17627,0.10885,0.04462,0.03283,0.39593,0.27889,0.20652,0.1253,0.0497,0.03544,1170.71,1197.963,1105.373,768.342,206.221,66.707,383.063,281.009,194.848,83.635,9.202,2.19,80.457,53.088,33.433,12.635,1.048,0.174,1.127
22.5,0,0.2,4.0,0.33321,0.23858,0.17914,0.11053,0.04532,0.03336,0.40225,0.28304,0.20946,0.127,0.05041,0.03597,1142.582,1170.943,1081.982,753.529,202.472,65.468,380.723,279.369,193.829,83.289,9.176,2.184,78.878,52.06,32.805,12.41,1.03,0.171,1.239
25.0,0,0.2,4.0,0.34016,0.24321,0.18245,0.11246,0.04612,0.03398,0.40956,0.28784,0.21285,0.12896,0.05121,0.03659,1111.402,1140.968,1056.016,737.075,198.306,64.092,378.057,277.499,192.666,82.894,9.146,2.178,77.124,50.917,32.107,12.16,1.009,0.167,1.309
27.5,0,0.2,4.0,0.34815,0.24852,0.18622,0.11467,0.04703,0.03467,0.41795,0.29333,0.21672,0.1312,0.05212,0.03728,1077.257,1108.113,1027.535,719.012,193.733,62.582,375.044,275.383,191.349,82.446,9.111,2.17,75.198,49.662,31.341,11.886,0.987,0.163,1.361
30.0,0,0.2,4.0,0.35729,0.25456,0.19052,0.11716,0.04806,0.03548,0.42756,0.2996,0.22113,0.13373,0.05316,0.03809,1040.244,1072.461,996.605,699.379,188.761,60.94,371.665,273.007,189.869,81.942,9.072,2.162,73.105,48.298,30.507,11.587,0.962,0.159,1.41
32.5,0,0.2,4.0,0.36772,0.26143,0.19538,0.11999,0.04923,0.03637,0.43853,0.30672,0.22612,0.1366,0.05433,0.03899,1000.474,1034.107,963.298,678.214,183.399,59.171,367.892,270.351,188.213,81.377,9.028,2.152,70.849,46.826,29.608,11.265,0.936,0.155,1.477
35.0,0,0.2,4.0,0.37962,0.26924,0.20089,0.12317,0.05054,0.03738,0.45105,0.3148,0.23177,0.13983,0.05565,0.04,958.066,993.153,927.695,655.563,177.659,57.278,363.699,267.396,186.367,80.746,8.978,2.141,68.434,45.25,28.645,10.92,0.908,0.15,1.55
37.5,0,0.2,4.0,0.3932,0.2781,0.20713,0.12676,0.05201,0.03852,0.46533,0.32398,0.23817,0.14347,0.05713,0.04115,913.156,949.713,889.882,631.473,171.552,55.265,359.052,264.117,184.319,80.046,8.923,2.129,65.866,43.574,27.62,10.552,0.878,0.145,1.567
40.0,0,0.2,4.0,0.40873,0.28818,0.21419,0.13081,0.05367,0.0398,0.48166,0.33442,0.2454,0.14758,0.05879,0.04242,865.891,903.911,849.955,605.994,165.091,53.136,353.914,260.487,182.049,79.269,8.86,2.115,63.151,41.8,26.534,10.163,0.846,0.139,1.661
42.5,0,0.2,4.0,0.42654,0.29966,0.2222,0.13538,0.05554,0.04126,0.5004,0.34632,0.25362,0.15222,0.06067,0.04389,816.435,855.884,808.017,579.182,158.288,50.897,348.245,256.477,179.539,78.409,8.791,2.1,60.295,39.933,25.391,9.752,0.813,0.134,1.694
