sunzen,elev,aot,wv,C_B2,C_B3,C_B4,C_B5,C_B6,C_B7,Ce_B2,Ce_B3,Ce_B4,Ce_B5,Ce_B6,Ce_B7,Edir_B2,Edir_B3,Edir_B4,Edir_B5,Edir_B6,Edir_B7,Edif_B2,Edif_B3,Edif_B4,Edif_B5,Edif_B6,Edif_B7,Eenv_B2,Eenv_B3,Eenv_B4,Eenv_B5,Eenv_B6,Eenv_B7,sec
77.5,3250,0.1,3.0,0.9732,0.57469,0.37117,0.22531,0.07743,0.05979,1.04598,0.61282,0.39321,0.23719,0.08004,0.06127,138.077,161.644,175.042,149.921,39.893,13.547,134.377,92.895,64.971,33.778,3.089,0.81,10.049,6.164,3.857,1.782,0.104,0.02,2.09
80.0,3250,0.1,3.0,1.37933,0.77201,0.48112,0.28418,0.09428,0.07213,1.4671,0.81496,0.50491,0.29663,0.09691,0.07357,84.731,104.651,120.81,109.707,30.708,10.357,116.872,80.792,58.124,31.176,2.895,0.747,7.437,4.494,2.874,1.366,0.081,0.015,2.12
10.0,3500,0.1,3.0,0.16364,0.11537,0.08418,0.05621,0.02066,0.01562,0.20578,0.14187,0.10137,0.06636,0.02312,0.01701,1479.926,1455.344,1290.361,922.714,208.695,73.549,242.176,167.909,108.622,51.865,4.312,1.149,62.36,38.567,22.184,9.368,0.512,0.102,0.802
12.5,3500,0.1,3.0,0.16508,0.11634,0.08486,0.05665,0.02083,0.01575,0.20727,0.14286,0.10206,0.0668,0.02328,0.01715,1464.1,1440.382,1277.692,914.045,206.817,72.878,241.688,167.569,108.42,51.778,4.307,1.148,61.769,38.204,21.98,9.284,0.508,0.102,0.934
15.0,3500,0.1,3.0,0.16686,0.11753,0.0857,0.05719,0.02103,0.01592,0.20911,0.14408,0.10291,0.06735,0.02348,0.01731,1444.828,1422.157,1262.26,903.484,204.529,72.06,241.085,167.149,108.17,51.67,4.301,1.147,61.048,37.761,21.731,9.182,0.502,0.1,0.981
17.5,3500,0.1,3.0,0.16901,0.11897,0.08671,0.05784,0.02127,0.01612,0.21134,0.14556,0.10394,0.06801,0.02373,0.01751,1422.151,1400.71,1244.095,891.052,201.835,71.098,240.361,166.644,107.87,51.54,4.294,1.146,60.2,37.239,21.439,9.061,0.496,0.099,1.015
20.0,3500,0.1,3.0,0.17155,0.12067,0.0879,0.05861,0.02157,0.01634,0.21398,0.1473,0.10515,0.06879,0.02402,0.01774,1396.119,1376.084,1223.235,876.774,198.741,69.992,239.511,166.051,107.517,51.388,4.286,1.144,59.226,36.64,21.102,8.922,0.488,0.098,1.148
22.5,3500,0.1,3.0,0.17452,0.12264,0.08928,0.0595,0.0219,0.0166,0.21705,0.14932,0.10655,0.06969,0.02436,0.01799,1366.79,1348.332,1199.722,860.677,195.253,68.746,238.529,165.365,107.108,51.211,4.276,1.141,58.127,35.965,20.723,8.766,0.48,0.096,1.193
25.0,3500,0.1,3.0,0.17793,0.12492,0.09087,0.06052,0.02228,0.01691,0.22059,0.15164,0.10816,0.07072,0.02474,0.0183,1334.23,1317.512,1173.603,842.794,191.377,67.362,237.406,164.58,106.641,51.009,4.264,1.139,56.907,35.214,20.301,8.592,0.47,0.094,1.295
27.5,3500,0.1,3.0,0.18185,0.12752,0.09268,0.06169,0.02272,0.01725,0.22464,0.1543,0.11,0.07189,0.02518,0.01865,1298.512,1283.692,1144.932,823.16,187.121,65.842,236.133,163.69,106.11,50.779,4.251,1.136,55.566,34.39,19.838,8.401,0.46,0.092,1.371
30.0,3500,0.1,3.0,0.18631,0.13047,0.09473,0.06301,0.02322,0.01765,0.22926,0.15733,0.11209,0.07323,0.02568,0.01905,1259.718,1246.942,1113.768,801.815,182.493,64.189,234.7,162.686,105.512,50.521,4.237,1.133,54.108,33.493,19.334,8.193,0.449,0.09,1.418
32.5,3500,0.1,3.0,0.19138,0.13382,0.09706,0.0645,0.02377,0.01809,0.23452,0.16076,0.11446,0.07473,0.02624,0.01948,1217.938,1207.344,1080.174,778.801,177.503,62.407,233.094,161.561,104.841,50.23,4.22,1.129,52.536,32.526,18.791,7.969,0.437,0.087,1.502
35.0,3500,0.1,3.0,0.19714,0.1376,0.09968,0.06617,0.0244,0.0186,0.24049,0.16463,0.11712,0.07642,0.02686,0.02,1173.269,1164.985,1044.223,754.163,172.159,60.5,231.301,160.303,104.09,49.906,4.201,1.125,50.853,31.489,18.208,7.729,0.424,0.085,1.53
37.5,3500,0.1,3.0,0.20368,0.14188,0.10264,0.06806,0.02511,0.01915,0.24726,0.16901,0.12012,0.07833,0.02757,0.02056,1125.821,1119.96,1005.987,727.952,166.472,58.471,229.305,158.903,103.254,49.545,4.18,1.12,49.061,30.387,17.589,7.473,0.41,0.082,1.625
40.0,3500,0.1,3.0,0.2111,0.14673,0.10597,0.07018,0.0259,0.0198,0.25495,0.17397,0.12351,0.08047,0.02837,0.0212,1075.708,1072.37,965.549,700.22,160.454,56.323,227.086,157.345,102.324,49.143,4.156,1.115,47.164,29.219,16.933,7.203,0.396,0.079,1.682
42.5,3500,0.1,3.0,0.21956,0.15222,0.10974,0.07257,0.02679,0.02051,0.26371,0.17959,0.12734,0.08288,0.02926,0.02192,1023.059,1022.329,922.996,671.025,154.116,54.063,224.623,155.616,101.293,48.699,4.129,1.109,45.167,27.989,16.241,6.918,0.381,0.076,1.692
45.0,3500,0.1,3.0,0.22922,0.15846,0.11401,0.07527,0.0278,0.02132,0.27372,0.18598,0.13167,0.08561,0.03026,0.02271,968.012,969.953,878.421,640.426,147.47,51.693,221.89,153.696,100.149,48.206,4.099,1.102,43.074,26.7,15.516,6.619,0.364,0.072,1.695
