sunzen,elev,aot,wv,C_B2,C_B3,C_B4,C_B5,C_B6,C_B7,Ce_B2,Ce_B3,Ce_B4,Ce_B5,Ce_B6,Ce_B7,Edir_B2,Edir_B3,Edir_B4,Edir_B5,Edir_B6,Edir_B7,Edif_B2,Edif_B3,Edif_B4,Edif_B5,Edif_B6,Edif_B7,Eenv_B2,Eenv_B3,Eenv_B4,Eenv_B5,Eenv_B6,Eenv_B7,sec
57.5,0,0.1,2.0,0.38371,0.24392,0.16803,0.09443,0.03681,0.02731,0.44864,0.28161,0.19145,0.10552,0.0397,0.02871,600.288,639.658,613.66,441.006,117.365,37.936,230.337,156.023,103.113,41.642,4.32,1.036,38.975,24.112,14.371,4.895,0.339,0.053,1.836
60.0,0,0.1,2.0,0.4174,0.26304,0.18017,0.10068,0.03917,0.02913,0.4839,0.30132,0.20383,0.11185,0.04207,0.03052,536.66,577.329,558.933,406.066,108.554,35.021,224.003,151.862,100.703,40.884,4.252,1.02,35.689,22.098,13.225,4.533,0.315,0.049,1.81
62.5,0,0.1,2.0,0.45903,0.28631,0.19479,0.10813,0.04196,0.03124,0.52748,0.3253,0.21874,0.11937,0.04486,0.03265,472.456,514.065,503.127,370.29,99.528,32.04,216.872,147.183,98.002,40.041,4.176,1.001,32.339,20.04,12.052,4.161,0.289,0.045,1.843
65.0,0,0.1,2.0,0.51164,0.3152,0.21271,0.11716,0.04529,0.03376,0.58254,0.35506,0.23703,0.12849,0.0482,0.03517,408.107,450.188,446.453,333.764,90.307,28.998,208.802,141.9,94.967,39.105,4.09,0.979,28.938,17.945,10.854,3.781,0.263,0.041,1.843
67.5,0,0.1,2.0,0.58001,0.35195,0.23519,0.12832,0.04934,0.03679,0.65412,0.39293,0.25995,0.13977,0.05227,0.03822,344.141,386.091,389.158,296.586,80.913,25.906,199.606,135.886,91.527,38.059,3.992,0.953,25.503,15.821,9.636,3.394,0.237,0.037,1.871
70.0,0,0.1,2.0,0.6722,0.40023,0.26422,0.14248,0.05438,0.04054,0.75062,0.44267,0.28956,0.15407,0.05732,0.04194,281.229,322.274,331.548,258.864,71.369,22.77,189.041,128.983,87.601,36.883,3.881,0.923,22.055,13.679,8.401,2.999,0.21,0.032,1.901
72.5,0,0.1,2.0,0.8026,0.46632,0.3031,0.16104,0.06081,0.04525,0.88713,0.51078,0.32921,0.17281,0.06378,0.04667,220.247,259.395,274.023,220.728,61.699,19.604,176.771,120.962,83.056,35.546,3.752,0.887,18.617,11.532,7.156,2.599,0.183,0.028,1.943
75.0,0,0.1,2.0,0.99977,0.56212,0.35789,0.18647,0.06934,0.05141,1.09353,0.60948,0.3851,0.1985,0.07232,0.05287,162.379,198.361,217.132,182.344,51.935,16.418,162.341,111.502,77.71,34.001,3.601,0.844,15.226,9.396,5.908,2.194,0.155,0.024,1.919
77.5,0,0.1,2.0,1.32795,0.71262,0.44079,0.2235,0.08126,0.05979,1.43711,0.76456,0.46966,0.23591,0.08427,0.06122,109.271,140.491,161.684,143.943,42.113,13.23,145.106,100.116,71.269,32.171,3.422,0.791,11.928,7.298,4.667,1.786,0.127,0.019,1.982
80.0,0,0.1,2.0,1.96285,0.98028,0.58031,0.28248,0.09912,0.07206,2.1018,1.04039,0.61195,0.29549,0.10219,0.07355,63.261,87.8,108.977,105.89,32.284,10.061,124.172,86.069,63.24,29.912,3.2,0.725,8.79,5.277,3.449,1.377,0.099,0.015,1.951
10.0,500,0.1,2.0,0.19165,0.12964,0.09319,0.05471,0.02149,0.01559,0.24543,0.16262,0.11443,0.06517,0.02431,0.01698,1419.119,1421.127,1287.429,863.195,223.813,73.624,271.968,184.229,119.98,47.222,4.809,1.148,76.32,46.88,27.336,9.03,0.633,0.102,0.772
12.5,500,0.1,2.0,0.19339,0.13074,0.09396,0.05513,0.02166,0.01572,0.24724,0.16376,0.1152,0.0656,0.02448,0.01711,1403.374,1406.168,1274.591,855.164,221.789,72.949,271.393,183.848,119.757,47.149,4.803,1.147,75.583,46.432,27.082,8.95,0.627,0.101,0.865
15.0,500,0.1,2.0,0.19555,0.13212,0.0949,0.05567,0.02187,0.01589,0.24951,0.16518,0.11617,0.06614,0.0247,0.01728,1384.204,1387.951,1258.954,845.381,219.324,72.127,270.681,183.377,119.48,47.059,4.796,1.146,74.685,45.886,26.773,8.852,0.621,0.1,0.888
17.5,500,0.1,2.0,0.19816,0.13378,0.09604,0.0563,0.02212,0.01608,0.25223,0.16689,0.11733,0.06678,0.02495,0.01745,1361.652,1366.512,1240.548,833.864,216.423,71.159,269.827,182.811,119.148,46.95,4.788,1.144,73.628,45.244,26.409,8.737,0.612,0.098,0.983
20.0,500,0.1,2.0,0.20125,0.13574,0.09739,0.05706,0.02242,0.0163,0.25546,0.1689,0.1187,0.06754,0.02525,0.01769,1335.771,1341.901,1219.413,820.635,213.09,70.047,268.825,182.147,118.758,46.822,4.778,1.142,72.413,44.506,25.991,8.604,0.603,0.097,1.078
22.5,500,0.1,2.0,0.20485,0.13802,0.09895,0.05793,0.02277,0.01657,0.25923,0.17125,0.1203,0.06842,0.02561,0.01795,1306.62,1314.169,1195.59,805.72,209.332,68.794,267.667,181.379,118.306,46.674,4.767,1.14,71.045,43.674,25.519,8.455,0.593,0.095,1.123
25.0,500,0.1,2.0,0.20902,0.14065,0.10075,0.05893,0.02317,0.01687,0.26358,0.17395,0.12213,0.06943,0.026,0.01825,1274.269,1283.378,1169.13,789.148,205.157,67.402,266.345,180.501,117.79,46.505,4.754,1.137,69.524,42.749,24.995,8.289,0.581,0.093,1.186
27.5,500,0.1,2.0,0.21379,0.14365,0.1028,0.06007,0.02363,0.01721,0.26857,0.17705,0.12422,0.07059,0.02646,0.0186,1238.795,1249.595,1140.085,770.952,200.573,65.873,264.847,179.506,117.204,46.312,4.739,1.134,67.854,41.734,24.419,8.106,0.568,0.091,1.311
30.0,500,0.1,2.0,0.21925,0.14707,0.10513,0.06136,0.02414,0.01761,0.27427,0.18057,0.1266,0.07189,0.02698,0.019,1200.283,1212.895,1108.518,751.167,195.588,64.211,263.161,178.385,116.543,46.095,4.722,1.131,66.038,40.63,23.793,7.908,0.555,0.089,1.318
32.5,500,0.1,2.0,0.22546,0.15096,0.10777,0.06282,0.02472,0.01806,0.28076,0.18457,0.12929,0.07337,0.02756,0.01943,1158.83,1173.363,1074.494,729.831,190.213,62.419,261.272,177.129,115.802,45.851,4.703,1.127,64.081,39.439,23.118,7.694,0.54,0.086,1.358
